param,val,subj_idx,gLen
t,0.03307628211454451,10,6
t,0.04346737580971993,10,1
t,0.029026695197966232,12,6
t,0.052993402223576125,12,1
t,0.028117401528588833,14,6
t,0.048632737431198565,14,1
t,0.06887157064081481,15,6
t,0.07217278073717942,15,1
t,0.028413231222516277,16,6
t,0.02446191141173933,16,1
t,0.044964547302536566,18,6
t,0.04515015520006525,18,1
t,0.022063381951711987,19,6
t,0.03733662675618444,19,1
t,0.03742782323805318,20,6
t,0.027820742817996125,20,1
t,0.02639096706223218,22,6
t,0.020831097484533465,22,1
t,0.041497405253506266,23,6
t,0.04656110347092556,23,1
t,0.10594933119092201,25,6
t,0.05857655621835261,25,1
t,0.03655722800026745,26,6
t,0.030625799174303275,26,1
t,0.03473988332682809,27,6
t,0.018417569695556416,27,1
t,0.05703311412741559,28,6
t,0.07930794290382477,28,1
t,0.06293674749554518,2,6
t,0.07793196142691106,2,1
t,0.048782097804974583,30,6
t,0.03301625142465047,30,1
t,0.08256431100089648,31,6
t,0.037500146274083934,31,1
t,0.03551473145882535,39,6
t,0.029299197532283276,39,1
t,0.03252392976235428,3,6
t,0.028562710758901908,3,1
t,0.0581813921830084,40,6
t,0.06114736498884196,40,1
t,0.04597509361415485,41,6
t,0.03742224258984385,41,1
t,0.17193046629770709,42,6
t,0.16187047902049262,42,1
t,0.040534755445578184,43,6
t,0.01998413369907642,43,1
t,0.04106284505014542,45,6
t,0.04699760231473608,45,1
t,0.03417276143510871,46,6
t,0.029898996202162707,46,1
t,0.06894212367519217,48,6
t,0.029866762871940244,48,1
t,0.06478387753918402,49,6
t,0.03181966426829532,49,1
t,0.04128222068166873,50,6
t,0.07058999427458007,50,1
t,0.0412389264858686,51,6
t,0.03387674861496031,51,1
t,0.023997770791478662,52,6
t,0.02304397889146071,52,1
t,0.027969612064146315,53,6
t,0.05026382239333202,53,1
t,0.03717506467887199,54,6
t,0.05091671332964071,54,1
t,0.03463601777900599,55,6
t,0.026510386992335155,55,1
t,0.0316590491012818,57,6
t,0.027304559503911988,57,1
t,0.05820942730403792,58,6
t,0.0503725218235033,58,1
t,0.03568877888794386,59,6
t,0.05038720810446317,59,1
t,0.03059836689789342,60,6
t,0.03497332897213812,60,1
t,0.036110092796779354,62,6
t,0.03533098464157174,62,1
t,0.03557562969578333,63,6
t,0.027234434412443356,63,1
t,0.031206691067982104,64,6
t,0.03194973831503873,64,1
t,0.041154345285182616,65,6
t,0.04423682118581822,65,1
t,0.04559015386796023,66,6
t,0.055146831394977495,66,1
t,0.06101397636994185,67,6
t,0.053692585384317766,67,1
t,0.05765141865425147,7,6
t,0.03589834631086456,7,1
t,0.04274648476737309,8,6
t,0.04081655388433694,8,1
t,0.06440751921718685,9,6
t,0.056684997888035625,9,1
